Level1,Level2,Level3,Level4,Citations
2005-2008,9,Gates,Breaking SVM Complexity with Cross-Training,3.292
2005-2008,9,Gates,Localizing Bugs in Program Executions with Graphical Models,0.194
2005-2008,9,Gates,Neuromorphic Networks Based on Sparse Optical Orthogonal Codes,6.721
2005-2008,9,Gates,Learning to Pass Expectation Propagation Messages,3.456
2005-2008,9,Gates,Neural Computing with Small Weights,0.142
2005-2008,9,Gates,Near-optimal sample compression for nearest neighbors,2.917
2005-2008,9,Gates,Computing with Almost Optimal Size Neural Networks,0.189
2005-2008,9,Gates,Algorithmic Stability and Uniform Generalization,0.08
2005-2008,9,Gates,Optimal Depth Neural Networks for Multiplication and Related Problems,0.126
2008-2011,10,Gates,An Incremental Nearest Neighbor Algorithm with Queries,0.25
2008-2011,10,Gates,Modelling Seasonality and Trends in Daily Rainfall Data,0.2
2008-2011,10,Gates,Breaking SVM Complexity with Cross-Training,0.929
2008-2011,10,Gates,Localizing Bugs in Program Executions with Graphical Models,2.916
2008-2011,10,Gates,Neuromorphic Networks Based on Sparse Optical Orthogonal Codes,0.246
2008-2011,10,Gates,Learning to Pass Expectation Propagation Messages,0.986
2008-2011,10,Gates,Neural Computing with Small Weights,0.182
2008-2011,10,Gates,Near-optimal sample compression for nearest neighbors,0.506
2008-2011,10,Gates,Computing with Almost Optimal Size Neural Networks,0.201
2008-2011,10,Gates,Algorithmic Stability and Uniform Generalization,0.15
2008-2011,10,Gates,Optimal Depth Neural Networks for Multiplication and Related Problems,1.424
1999-2002,11,Hyperkernels,Computing regularization paths for learning multiple kernels,6.406
1999-2002,11,Hyperkernels,A General and Efficient Multiple Kernel Learning Algorithm,0.133
1999-2002,11,Hyperkernels,Combining Graph Laplacians for Semi--Supervised Learning,1.992
1999-2002,11,Hyperkernels,Gaussian and Wishart Hyperkernels,0.17
2002-2005,12,Hyperkernels,Computing regularization paths for learning multiple kernels,0.11
2002-2005,12,Hyperkernels,A General and Efficient Multiple Kernel Learning Algorithm,0.151
2002-2005,12,Hyperkernels,Combining Graph Laplacians for Semi--Supervised Learning,0.11
2002-2005,12,Hyperkernels,Gaussian and Wishart Hyperkernels,0.073
2005-2008,13,Linearly-solvable Markov decision problems,Compositionality of optimal control laws,0.086
2005-2008,13,Linearly-solvable Markov decision problems,Policy gradients in linearly-solvable MDPs,0.102
2005-2008,13,Linearly-solvable Markov decision problems,Optimal Reinforcement Learning for Gaussian Systems,2.9
2002-2005,0,Learning from Data of Variable Quality,Domain Adaptation with Multiple Sources,46.4
2005-2008,1,Learning from Data of Variable Quality,Domain Adaptation with Multiple Sources,11.8
1993-1996,2,Nonlinear Image Interpolation using Manifold Learning,Example-Based Image Synthesis of Articulated Figures,69.4
2002-2005,3,A matching pursuit approach to sparse Gaussian process regression,Variational Mixture of Gaussian Process Experts,4.7
2005-2008,4,A matching pursuit approach to sparse Gaussian process regression,Variational Mixture of Gaussian Process Experts,0
2002-2005,5,Metric Learning by Collapsing Classes,Online Metric Learning and Fast Similarity Search,3.8
2002-2005,5,Metric Learning by Collapsing Classes,An Online Algorithm for Large Scale Image Similarity Learning,12.9
2002-2005,5,Metric Learning by Collapsing Classes,Similarity Component Analysis,75.5
2005-2008,6,Metric Learning by Collapsing Classes,Online Metric Learning and Fast Similarity Search,4.2
2005-2008,6,Metric Learning by Collapsing Classes,An Online Algorithm for Large Scale Image Similarity Learning,0
2005-2008,6,Metric Learning by Collapsing Classes,Similarity Component Analysis,2.1
2008-2011,7,Reconstruction of Sparse Circuits Using Multi-neuronal Excitation (RESCUME),Bayesian Inference and Online Experimental Design for Mapping Neural Microcircuits,0.9
1993-1996,8,An experimental comparison of recurrent neural networks,Learning long-term dependencies is not as difficult with NARX networks,8.1
2011-2014,9,Reducing statistical time-series problems to binary classification,Locating Changes in Highly Dependent Data with Unknown Number of Change Points,0.6
1987-1990,10,Performance of a Stochastic Learning Microchip,Experimental Evaluation of Learning in a Neural Microsystem,0
1996-1999,11,Ensemble Learning for Multi-Layer Networks,Affine Independent Variational Inference,0.4
2005-2008,12,Learning from Multiple Sources,Multi-Label Prediction via Sparse Infinite CCA,11.6
2005-2008,12,Learning from Multiple Sources,Graph-based Consensus Maximization among Multiple Supervised and Unsupervised Models,39
2005-2008,12,Learning from Multiple Sources,Predictive Subspace Learning for Multi-view Data: a Large Margin Approach,9.5
2005-2008,12,Learning from Multiple Sources,Generalization Bounds for Domain Adaptation,10.4
2008-2011,13,From Bandits to Experts: On the Value of Side-Observations,Explore no more: Improved high-probability regret bounds for non-stochastic bandits,2.3
2011-2014,0,From Bandits to Experts: On the Value of Side-Observations,Explore no more: Improved high-probability regret bounds for non-stochastic bandits,0.103
1987-1990,1,Towards an Organizing Principle for a Layered Perceptual Network,Kernelized Infomax Clustering,1.258
1990-1993,2,Practical Issues in Temporal Difference Learning,Stable LInear Approximations to Dynamic Programming for Stochastic Control Problems with Local Transitions,0.085
1990-1993,2,Practical Issues in Temporal Difference Learning,Improving Elevator Performance Using Reinforcement Learning,0.303
1990-1993,2,Practical Issues in Temporal Difference Learning,Multidimensional Triangulation and Interpolation for Reinforcement Learning,0.109
1990-1993,2,Practical Issues in Temporal Difference Learning,Memory-Based Reinforcement Learning: Efficient Computation with Prioritized Sweeping,0.057
1990-1993,2,Practical Issues in Temporal Difference Learning,Monte Carlo Matrix Inversion and Reinforcement Learning,0.08
2005-2008,3,A learning framework for nearest neighbor search,Learning to Prune in Metric and Non-Metric Spaces,0.08
1996-1999,4,Extended ICA Removes Artifacts from Electroencephalographic Recordings,Recognizing Evoked Potentials in a Virtual Environment,0.13
1996-1999,5,A Neuromorphic Monaural Sound Localizer,Gradient Flow Independent Component Analysis in Micropower VLSI,0.109
2005-2008,6,Multi-stage Convex Relaxation for Learning with Sparse Regularization,Identifying Alzheimer's Disease-Related Brain Regions from Multi-Modality Neuroimaging Data using Sparse Composite Linear Discrimination Analysis,0.081
2008-2011,7,Multi-stage Convex Relaxation for Learning with Sparse Regularization,Identifying Alzheimer's Disease-Related Brain Regions from Multi-Modality Neuroimaging Data using Sparse Composite Linear Discrimination Analysis,0.524
2005-2008,8,A neural network implementing optimal state estimation based on dynamic spike train decoding,Analytical Results for the Error in Filtering of Gaussian Processes,0.182
2008-2011,9,The Fixed Points of Off-Policy TD,Regularized Off-Policy TD-Learning,0.13
2011-2014,10,The Fixed Points of Off-Policy TD,Regularized Off-Policy TD-Learning,0.138
2008-2011,11,Learning from Candidate Labeling Sets,A Conditional Multinomial Mixture Model for Superset Label Learning,0.426
1996-1999,12,The Relevance Vector Machine,Sparse Kernel Principal Component Analysis,0.122
1996-1999,12,The Relevance Vector Machine,Sparse Representation for Gaussian Process Models,0.092
1996-1999,12,The Relevance Vector Machine,Analysis of Sparse Bayesian Learning,0.057
1996-1999,12,The Relevance Vector Machine,Boosted Dyadic Kernel Discriminants,0.053
1999-2002,13,The Relevance Vector Machine,Sparse Kernel Principal Component Analysis,0.144
1999-2002,13,The Relevance Vector Machine,Sparse Representation for Gaussian Process Models,0.952
1999-2002,13,The Relevance Vector Machine,Analysis of Sparse Bayesian Learning,0.159
1999-2002,13,The Relevance Vector Machine,Boosted Dyadic Kernel Discriminants,0.079
2008-2011,0,Ensemble Nystrom Method,Less is More: Nystr?m Computational Regularization,0.125
1987-1990,1,Heterogeneous Neural Networks for Adaptive Behavior in Dynamic Environments,Neural Implementation of Motivated Behavior: Feeding in an Artificial Insect,0.092
2014-2017,2,Deep Convolutional Inverse Graphics Network,"Attend, Infer, Repeat: Fast Scene Understanding with Generative Models",0.58
2011-2014,3,Rates of Convergence for Nearest Neighbor Classification,Near-optimal sample compression for nearest neighbors,0.61
2014-2017,4,Rates of Convergence for Nearest Neighbor Classification,Near-optimal sample compression for nearest neighbors,0.331
2014-2017,5,Convolutional Networks on Graphs for Learning Molecular Fingerprints,Protein contact prediction from amino acid co-evolution using convolutional networks for graph-valued images,0.349
2005-2008,6,Modeling image patches with a directed hierarchy of Markov random fields,The Recurrent Temporal Restricted Boltzmann Machine,0.075
1990-1993,7,Supervised learning from incomplete data via an EM approach,Reconstruction of Sequential Data with Probabilistic Models and Continuity Constraints,0.11
1990-1993,7,Supervised learning from incomplete data via an EM approach,An Alternative Infinite Mixture Of Gaussian Process Experts,0.097
1990-1993,7,Supervised learning from incomplete data via an EM approach,Max-margin classification of incomplete data,0.125
1990-1993,7,Supervised learning from incomplete data via an EM approach,Estimating Jaccard Index with Missing Observations: A Matrix Calibration Approach,2.225
1993-1996,8,Supervised learning from incomplete data via an EM approach,Reconstruction of Sequential Data with Probabilistic Models and Continuity Constraints,5.036
1993-1996,8,Supervised learning from incomplete data via an EM approach,An Alternative Infinite Mixture Of Gaussian Process Experts,4.365
1993-1996,8,Supervised learning from incomplete data via an EM approach,Max-margin classification of incomplete data,0.352
1993-1996,8,Supervised learning from incomplete data via an EM approach,Estimating Jaccard Index with Missing Observations: A Matrix Calibration Approach,0.31
2008-2011,9,Static Analysis of Binary Executables Using Structural SVMs,Structured Learning for Cell Tracking,0.154
1999-2002,10,Fractional Belief Propagation,Approximate inference in latent Gaussian-Markov models from continuous time observations,0.059
2002-2005,11,Fractional Belief Propagation,Approximate inference in latent Gaussian-Markov models from continuous time observations,0.067
2011-2014,12,Continuous Relaxations for Discrete Hamiltonian Monte Carlo,Auxiliary-variable Exact Hamiltonian Monte Carlo Samplers for Binary Distributions,0.082
2008-2011,13,Zero-shot Learning with Semantic Output Codes,Zero-shot recognition with unreliable attributes,0.314
1993-1996,0,GTM: A Principled Alternative to the Self-Organizing Map,Limitations of Self-organizing Maps for Vector Quantization and Multidimensional Scaling,0.824
1996-1999,1,GTM: A Principled Alternative to the Self-Organizing Map,Limitations of Self-organizing Maps for Vector Quantization and Multidimensional Scaling,0.333
2005-2008,2,Multi-Task Feature Learning,Supervised Dictionary Learning,0.1
1990-1993,3,Efficient Pattern Recognition Using a New Transformation Distance,Nonlinear Image Interpolation using Manifold Learning,31.838
1990-1993,3,Efficient Pattern Recognition Using a New Transformation Distance,Adaptive Elastic Input Field for Recognition Improvement,31.838
2011-2014,4,Solving the multi-way matching problem by permutation synchronization,Permutation Diffusion Maps (PDM) with Application to the Image Association Problem in Computer Vision,41.5
2011-2014,4,Solving the multi-way matching problem by permutation synchronization,Normalized Spectral Map Synchronization,3
2011-2014,4,Solving the multi-way matching problem by permutation synchronization,On Valid Optimal Assignment Kernels and Applications to Graph Classification,25.5
1999-2002,5,Efficient Learning Equilibrium,New Criteria and a New Algorithm for Learning in Multi-Agent Systems,8.1
2002-2005,6,Efficient Learning Equilibrium,New Criteria and a New Algorithm for Learning in Multi-Agent Systems,0.3
2014-2017,7,Training Very Deep Networks,Tensor Switching Networks,0
1999-2002,8,PAC-Bayes & Margins,Tighter PAC-Bayes Bounds,1.1
1999-2002,8,PAC-Bayes & Margins,Dimensionality Dependent PAC-Bayes Margin Bound,3.6
2002-2005,9,PAC-Bayes & Margins,Tighter PAC-Bayes Bounds,0.8
2002-2005,9,PAC-Bayes & Margins,Dimensionality Dependent PAC-Bayes Margin Bound,0
1993-1996,10,A model of transparent motion and non-transparent motion aftereffects,Distributional Population Codes and Multiple Motion Models,1.4
2002-2005,11,AUC Optimization vs. Error Rate Minimization,Confidence Intervals for the Area Under the ROC Curve,1
2002-2005,11,AUC Optimization vs. Error Rate Minimization,Reconciling Real Scores with Binary Comparisons: A New Logistic Based Model for Ranking,2.144
1993-1996,12,An Input Output HMM Architecture,A Dynamic HMM for On-line Segmentation of Sequential Data,0.248
1993-1996,12,An Input Output HMM Architecture,Diffusion of Credit in Markovian Models,0.12
2008-2011,13,Tiled convolutional neural networks,ICA with Reconstruction Cost for Efficient Overcomplete Feature Learning,0.398
2008-2011,13,Tiled convolutional neural networks,Deep Learning of Invariant Features via Simulated Fixations in Video,0.466
2008-2011,13,Tiled convolutional neural networks,Noise-Enhanced Associative Memories,3.958
2008-2011,0,Non-stationary continuous dynamic Bayesian networks,Inter-time segment information sharing for non-homogeneous dynamic Bayesian networks,0.098
2014-2017,1,Information-theoretic lower bounds for convex optimization with erroneous oracles,Algorithms and matching lower bounds for approximately-convex optimization,0.245
2002-2005,2,Semi-Markov Conditional Random Fields for Information Extraction,Active Learning for Probabilistic Hypotheses Using the Maximum Gibbs Error Criterion,0.06
2008-2011,3,Multi-Label Prediction via Sparse Infinite CCA,Reverse Multi-Label Learning,0.126
2008-2011,3,Multi-Label Prediction via Sparse Infinite CCA,Submodular Multi-Label Learning,0.224
2008-2011,4,Efficient Inference in Fully Connected CRFs with Gaussian Edge Potentials,Algorithms for Learning Markov Field Policies,0
2008-2011,4,Efficient Inference in Fully Connected CRFs with Gaussian Edge Potentials,Message Passing Inference for Large Scale Graphical Models with High Order Potentials,0.07
2011-2014,5,Efficient Inference in Fully Connected CRFs with Gaussian Edge Potentials,Algorithms for Learning Markov Field Policies,0.256
2011-2014,5,Efficient Inference in Fully Connected CRFs with Gaussian Edge Potentials,Message Passing Inference for Large Scale Graphical Models with High Order Potentials,0.147
2008-2011,6,Stochastic convex optimization with bandit feedback,Finite Sample Convergence Rates of Zero-Order Stochastic Optimization Methods,0.816
2008-2011,6,Stochastic convex optimization with bandit feedback,Bandit Smooth Convex Optimization: Improving the Bias-Variance Tradeoff,0.182
2008-2011,6,Stochastic convex optimization with bandit feedback,Algorithms and matching lower bounds for approximately-convex optimization,0.071
2011-2014,7,Stochastic convex optimization with bandit feedback,Finite Sample Convergence Rates of Zero-Order Stochastic Optimization Methods,0.8
2011-2014,7,Stochastic convex optimization with bandit feedback,Bandit Smooth Convex Optimization: Improving the Bias-Variance Tradeoff,4.271
2011-2014,7,Stochastic convex optimization with bandit feedback,Algorithms and matching lower bounds for approximately-convex optimization,5
2008-2011,8,AUC optimization and the two-sample problem,A More Powerful Two-Sample Test in High Dimensions using Random Projection,2.921
2011-2014,9,Spectral methods for neural characterization using generalized quadratic models,Convolutional spike-triggered covariance analysis for neural subunit models,3.859
1990-1993,10,Threshold Network Learning in the Presence of Equivalences,Generalisation of A Class of Continuous Neural Networks,0.173
1987-1990,11,Recognizing Hand-Printed Letters and Digits,Simulation of the Neocognitron on a CCD Parallel Processing Architecture,0.545
1990-1993,12,VISIT: A Neural Model of Covert Visual Attention,Selective Attention for Handwritten Digit Recognition,0.519
2008-2011,13,Sequence learning with hidden units in spiking neural networks,Homeostatic plasticity in Bayesian spiking networks as Expectation Maximization with posterior constraints,17.093
2008-2011,13,Sequence learning with hidden units in spiking neural networks,Learning visual motion in recurrent neural networks,1.515
2008-2011,13,Sequence learning with hidden units in spiking neural networks,Synaptic Sampling: A Bayesian Approach to Neural Network Plasticity and Rewiring,0.139
2011-2014,0,Sequence learning with hidden units in spiking neural networks,Homeostatic plasticity in Bayesian spiking networks as Expectation Maximization with posterior constraints,0.11
2011-2014,0,Sequence learning with hidden units in spiking neural networks,Learning visual motion in recurrent neural networks,0.755
2011-2014,0,Sequence learning with hidden units in spiking neural networks,Synaptic Sampling: A Bayesian Approach to Neural Network Plasticity and Rewiring,1.141
1996-1999,1,Regularisation in Sequential Learning Algorithms,Adaptive Classification by Variational Kalman Filtering,0.092
1999-2002,2,Categorization by Learning and Combining Object Parts,Discriminating Deformable Shape Classes,0.268
1999-2002,3,Generalized Belief Propagation,High-temperature Expansions for Learning Models of Nonnegative Data,0.065
1999-2002,3,Generalized Belief Propagation,Active Information Retrieval,0.102
1999-2002,3,Generalized Belief Propagation,"TAP Gibbs Free Energy, Belief Propagation and Sparsity",0.388
1999-2002,3,Generalized Belief Propagation,The g Factor: Relating Distributions on Features to Distributions on Images,0.105
1999-2002,3,Generalized Belief Propagation,Local Algorithms for Approximate Inference in Minor-Excluded Graphs,3.12
1999-2002,3,Generalized Belief Propagation,Message Passing for Max-weight Independent Set,0.076
1999-2002,3,Generalized Belief Propagation,Minimization of Continuous Bethe Approximations: A Positive Variation,1.715
1996-1999,4,DTs: Dynamic Trees,A MCMC Approach to Hierarchical Mixture Modelling,0.153
1993-1996,5,Convergence Properties of the K-Means Algorithms,Limitations of Self-organizing Maps for Vector Quantization and Multidimensional Scaling,0.075
2002-2005,6,Unsupervised Variational Bayesian Learning of Nonlinear Models,Affine Independent Variational Inference,0.075
2005-2008,7,A Game-Theoretic Approach to Apprenticeship Learning,Bootstrapping Apprenticeship Learning,9.162
2008-2011,8,Which graphical models are difficult to learn?,Structure learning of antiferromagnetic Ising models,0.415
2008-2011,8,Which graphical models are difficult to learn?,Interaction Screening: Efficient and Sample-Optimal Learning of Ising Models,1.15
2011-2014,9,Hardness of parameter estimation in graphical models,Interaction Screening: Efficient and Sample-Optimal Learning of Ising Models,0.163
2014-2017,10,Hardness of parameter estimation in graphical models,Interaction Screening: Efficient and Sample-Optimal Learning of Ising Models,6.522
2008-2011,11,Learning to combine foveal glimpses with a third-order Boltzmann machine,Deep Networks with Internal Selective Attention through Feedback Connections,1.395
2005-2008,12,A Kernel Statistical Test of Independence,Kernel Measures of Conditional Dependence,1.207
2002-2005,13,Bayesian Surprise Attracts Human Attention,Graph-Based Visual Saliency,0.96
2002-2005,13,Bayesian Surprise Attracts Human Attention,Dynamic visual attention: searching for coding length increments,0.082
2002-2005,13,Bayesian Surprise Attracts Human Attention,Balancing Suspense and Surprise: Timely Decision Making with Endogenous Information Acquisition,0.151
2005-2008,0,Bayesian Surprise Attracts Human Attention,Graph-Based Visual Saliency,0.086
2005-2008,0,Bayesian Surprise Attracts Human Attention,Dynamic visual attention: searching for coding length increments,0.178
2005-2008,0,Bayesian Surprise Attracts Human Attention,Balancing Suspense and Surprise: Timely Decision Making with Endogenous Information Acquisition,1.135
1990-1993,1,Non-Linear Dimensionality Reduction,MLLE: Modified Locally Linear Embedding Using Multiple Weights,0.337
1999-2002,2,Adaptive Caching by Refetching,Nearly Tight Bounds for the Continuum-Armed Bandit Problem,0.478
2002-2005,3,Adaptive Caching by Refetching,Nearly Tight Bounds for the Continuum-Armed Bandit Problem,0.083
2008-2011,4,Gaussian process regression with Student-t likelihood,Copula Processes,0.613
2011-2014,5,MCMC for continuous-time discrete-state systems,Approximate inference in latent Gaussian-Markov models from continuous time observations,0.095
2008-2011,6,A reinterpretation of the policy oscillation phenomenon in approximate policy iteration,Optimistic policy iteration and natural actor-critic: A unifying view and a non-optimality result,0.857
2011-2014,7,A reinterpretation of the policy oscillation phenomenon in approximate policy iteration,Optimistic policy iteration and natural actor-critic: A unifying view and a non-optimality result,0.27
2008-2011,8,Heterogeneous multitask learning with joint sparsity constraints,Multi-Stage Multi-Task Feature Learning,0.081
1999-2002,9,One Microphone Source Separation,Source Separation with a Sensor Array using Graphical Models and Subband Filtering,0.054
2014-2017,10,Asynchronous Parallel Stochastic Gradient for Nonconvex Optimization,The Sound of APALM Clapping: Faster Nonsmooth Nonconvex Optimization with Stochastic Asynchronous PALM,0.15
1999-2002,11,Sparse Representation for Gaussian Process Models,Incremental and Decremental Support Vector Machine Learning,0.244
1996-1999,12,State Abstraction in MAXQ Hierarchical Reinforcement Learning,Automated State Abstraction for Options using the U-Tree Algorithm,0.177
1999-2002,13,State Abstraction in MAXQ Hierarchical Reinforcement Learning,Automated State Abstraction for Options using the U-Tree Algorithm,0.054
2008-2011,0,Learning Multiple Tasks with a Sparse Matrix-Normal Penalty,Simultaneously Leveraging Output and Task Structures for Multiple-Output Regression,0.092
2008-2011,1,Active Classification based on Value of Classifier,Timely Object Recognition,0
2011-2014,2,Active Classification based on Value of Classifier,Timely Object Recognition,2.6
1990-1993,3,Feudal Reinforcement Learning,The Parti-Game Algorithm for Variable Resolution Reinforcement Learning in Multidimensional State-Spaces,0
1990-1993,4,Recognizing Overlapping Hand-Printed Characters by Centered-Object Integrated Segmentation and Recognition,Adaptive Elastic Input Field for Recognition Improvement,3.1
2008-2011,5,Dynamical segmentation of single trials from population neural data,Robust learning of low-dimensional dynamics from large neural ensembles,1.7
2008-2011,5,Dynamical segmentation of single trials from population neural data,A framework for studying synaptic plasticity with neural spike train data,6.5
2008-2011,5,Dynamical segmentation of single trials from population neural data,High-dimensional neural spike train analysis with generalized count linear dynamical systems,0
2011-2014,6,Dynamical segmentation of single trials from population neural data,Robust learning of low-dimensional dynamics from large neural ensembles,0.1
2011-2014,6,Dynamical segmentation of single trials from population neural data,A framework for studying synaptic plasticity with neural spike train data,0.1
2011-2014,6,Dynamical segmentation of single trials from population neural data,High-dimensional neural spike train analysis with generalized count linear dynamical systems,2.4
1990-1993,7,Adaptive Elastic Models for Hand-Printed Character Recognition,Adaptive Elastic Input Field for Recognition Improvement,0
1987-1990,8,Performance Comparisons Between Backpropagation Networks and Classification Trees on Three Real-World Applications,Recurrent Networks and NARMA Modeling,0.5
2008-2011,9,Locality-sensitive binary codes from shift-invariant kernels,PiCoDes: Learning a Compact Code for Novel-Category Recognition,0.2
2008-2011,9,Locality-sensitive binary codes from shift-invariant kernels,Co-Regularized Hashing for Multimodal Data,1.3
2008-2011,9,Locality-sensitive binary codes from shift-invariant kernels,Hamming Distance Metric Learning,2.144
2008-2011,9,Locality-sensitive binary codes from shift-invariant kernels,Isotropic Hashing,1.705
2008-2011,9,Locality-sensitive binary codes from shift-invariant kernels,The Power of Asymmetry in Binary Hashing,0.078
2008-2011,9,Locality-sensitive binary codes from shift-invariant kernels,A Probabilistic Framework for Multimodal Retrieval using Integrative Indian Buffet Process,0.179
1996-1999,10,Transductive Inference for Estimating Values of Functions,On Transductive Regression,0.09
1999-2002,11,Transductive Inference for Estimating Values of Functions,On Transductive Regression,0.189
2008-2011,12,Reading Tea Leaves: How Humans Interpret Topic Models,A Neural Autoregressive Topic Model,0.783
2005-2008,13,Unsupervised Learning of Visual Sense Models for Polysemous Words,Filtering Abstract Senses From Image Search Results,0.463
2008-2011,0,Unsupervised Learning of Visual Sense Models for Polysemous Words,Filtering Abstract Senses From Image Search Results,0.55
2005-2008,1,Real-time adaptive information-theoretic optimization of neurophysiology experiments,Multivariate f-divergence Estimation With Confidence,1.668
2005-2008,1,Real-time adaptive information-theoretic optimization of neurophysiology experiments,Finite-Sample Analysis of Fixed-k Nearest Neighbor Density Functional Estimators,0.223
1990-1993,2,Reinforcement Learning Applied to Linear Quadratic Regulation,Advantage Updating Applied to a Differential Game,0.786
2011-2014,3,Flexible sampling of discrete data correlations without the marginal distributions,Dynamic Rank Factor Model for Text Streams,0.764
1990-1993,4,"Fast, Robust Adaptive Control by Learning only Forward Models",Memory-based Stochastic Optimization,1.529
2002-2005,5,Stable adaptive control with online learning,A Constraint Generation Approach to Learning Stable Linear Dynamical Systems,0.07
1999-2002,6,Active Information Retrieval,Mean Field Approach to a Probabilistic Model in Information Retrieval,0.271
2008-2011,7,Variational bounds for mixed-data factor analysis,Infinite Latent SVM for Classification and Multi-task Learning,0.518
2002-2005,8,Optimal cue selection strategy,Experience-Guided Search: A Theory of Attentional Control,0.218
2002-2005,8,Optimal cue selection strategy,Load and Attentional Bayes,0.31
2005-2008,9,Optimal cue selection strategy,Experience-Guided Search: A Theory of Attentional Control,0.945
2005-2008,9,Optimal cue selection strategy,Load and Attentional Bayes,0.183
2008-2011,10,Heavy-Tailed Process Priors for Selective Shrinkage,Robust Multi-Class Gaussian Process Classification,0.478
2008-2011,11,An Inverse Power Method for Nonlinear Eigenproblems with Applications in 1-Spectral Clustering and Sparse PCA,Convergence and Energy Landscape for Cheeger Cut Clustering,1.01
2008-2011,11,An Inverse Power Method for Nonlinear Eigenproblems with Applications in 1-Spectral Clustering and Sparse PCA,Multiclass Total Variation Clustering,1.682
2011-2014,12,Annealing between distributions by averaging moments,Just-In-Time Learning for Fast and Flexible Inference,0.361
1999-2002,13,Balancing Multiple Sources of Reward in Reinforcement Learning,Cobot: A Social Reinforcement Learning Agent,0.15
1987-1990,0,Learning by Choice of Internal Representations,A Cost Function for Internal Representations,0.3
1987-1990,1,Pulse-Firing Neural Chips for Hundreds of Neurons,Real-time autonomous robot navigation using VLSI neural networks,0.25
2011-2014,2,Compete to Compute,Deep Networks with Internal Selective Attention through Feedback Connections,0.096
2008-2011,3,Unsupervised feature learning for audio classification using convolutional deep belief networks,Deep Learning for Real-Time Atari Game Play Using Offline Monte-Carlo Tree Search Planning,0.112
2008-2011,4,Learning large-margin halfspaces with more malicious noise,Learning Halfspaces with the Zero-One Loss: Time-Accuracy Tradeoffs,0.175
2008-2011,4,Learning large-margin halfspaces with more malicious noise,Learning as MAP Inference in Discrete Graphical Models,1.061
2011-2014,5,Learning large-margin halfspaces with more malicious noise,Learning Halfspaces with the Zero-One Loss: Time-Accuracy Tradeoffs,0.925
2011-2014,5,Learning large-margin halfspaces with more malicious noise,Learning as MAP Inference in Discrete Graphical Models,0.1
1987-1990,6,Handwritten Digit Recognition with a Back-Propagation Network,Generalized Learning Vector Quantization,5.907
1987-1990,6,Handwritten Digit Recognition with a Back-Propagation Network,Simulation of the Neocognitron on a CCD Parallel Processing Architecture,0.702
1987-1990,6,Handwritten Digit Recognition with a Back-Propagation Network,CCD Neural Network Processors for Pattern Recognition,0.195
1987-1990,6,Handwritten Digit Recognition with a Back-Propagation Network,Image Segmentation with Networks of Variable Scales,0.15
1987-1990,6,Handwritten Digit Recognition with a Back-Propagation Network,Improving Performance in Neural Networks Using a Boosting Algorithm,0.2
2005-2008,7,Kernel Measures of Conditional Dependence,Statistical analysis of coupled time series with Kernel Cross-Spectral Density operators.,0
2011-2014,8,Fast Determinantal Point Process Sampling with Application to Clustering,Expectation-Maximization for Learning Determinantal Point Processes,62.7
2005-2008,9,Colored Maximum Variance Unfolding,Fast Graph Laplacian Regularized Kernel Learning via Semidefinite?Quadratic?Linear Programming,8.2
2011-2014,10,Bayesian nonparametric models for ranked data,Bayesian nonparametric models for bipartite graphs,6.8
1999-2002,11,A Natural Policy Gradient,Biasing Approximate Dynamic Programming with a Lower Discount Factor,0.5
1999-2002,11,A Natural Policy Gradient,A Unifying Perspective of Parametric Policy Search Methods for Markov Decision Processes,1.5
1993-1996,12,Extracting Tree-Structured Representations of Trained Networks,Projection Retrieval for Classification,0.2
2011-2014,13,Trading Computation for Communication: Distributed Stochastic Dual Coordinate Ascent,Communication-Efficient Distributed Dual Coordinate Ascent,4.9
2005-2008,0,Multi-task Gaussian Process Prediction,Multi-task Gaussian Process Learning of Robot Inverse Dynamics,0.4
2005-2008,0,Multi-task Gaussian Process Prediction,Fast Multivariate Spatio-temporal Analysis via Low Rank Tensor Learning,0
2008-2011,1,Nonlinear Learning using Local Coordinate Coding,Learning Anchor Planes for Classification,0.876
2008-2011,1,Nonlinear Learning using Local Coordinate Coding,Generalized Lasso based Approximation of Sparse Coding for Visual Recognition,0.078
2008-2011,2,Submanifold density estimation,Learning Probability Measures with respect to Optimal Transport Metrics,0.241
2008-2011,3,Variational Inference for the Nested Chinese Restaurant Process,Online Learning of Nonparametric Mixture Models via Sequential Variational Approximation,6.912
2011-2014,4,Learning visual motion in recurrent neural networks,A Recurrent Latent Variable Model for Sequential Data,2.037
2008-2011,5,t-logistic regression,t-divergence Based Approximate Inference,6.9
2008-2011,5,t-logistic regression,Distributionally Robust Logistic Regression,0
2008-2011,5,t-logistic regression,Learning with Symmetric Label Noise: The Importance of Being Unhinged,0
2005-2008,6,The Price of Bandit Information for Online Optimization,Multi-armed bandits on implicit metric spaces,0
2008-2011,7,Multi-Label Prediction via Compressed Sensing,On the Optimality of Classifier Chain for Multi-label Classification,0.126
2002-2005,8,Interpolating between types and tokens by estimating power-law generators,Indian Buffet Processes with Power-law Behavior,0.245
2005-2008,9,Interpolating between types and tokens by estimating power-law generators,Indian Buffet Processes with Power-law Behavior,0.291
1993-1996,10,Adaptive Access Control Applied to Ethernet Data,Optimizing Admission Control while Ensuring Quality of Service in Multimedia Networks via Reinforcement Learning,0.251
